fakeid,date_obs,mjd_obs,expnum,exptime,ra,dec,band,ccdnum
405109,2014-02-02T00:57:11.082235,56690.03971160,280303,200.00000000,0.6235643396972588,-0.10353324113679649,i,16
405109,2014-02-02T01:00:59.926237,56690.04236026,280304,200.00000000,0.6235646280892926,-0.10353275151266657,z,16
405109,2014-02-02T01:04:48.651264,56690.04500754,280305,200.00000000,0.6235649163852197,-0.1035322621285076,z,16
405109,2014-02-09T01:34:25.831664,56697.06557676,283360,175.00000000,0.6245166702464712,-0.10218666030060773,g,10
405109,2014-02-09T01:37:49.736510,56697.06793677,283361,150.00000000,0.624517052320316,-0.10218619307698687,r,10
405109,2014-02-09T01:40:47.962258,56697.06999956,283362,200.00000000,0.6245173863107987,-0.10218578468638287,i,10
405109,2014-02-09T01:44:38.081275,56697.07266298,283363,200.00000000,0.6245178175944823,-0.10218525737590604,z,10
405109,2014-02-09T01:48:29.269922,56697.07533877,283364,200.00000000,0.6245182509356829,-0.10218472760254854,z,10
408732,2013-11-19T00:32:52.357116,56615.02282821,255857,175.00000000,0.6165524036929471,-0.094377467822501,g,50
408732,2013-11-19T00:36:18.931942,56615.02521912,255858,150.00000000,0.6165516550430162,-0.09437763661994862,r,50
408732,2013-11-19T00:39:18.867854,56615.02730171,255859,200.00000000,0.6165510029463062,-0.09437778363591609,i,50
408732,2013-11-19T00:43:06.981203,56615.02994191,255860,200.00000000,0.6165501762666977,-0.09437796999612796,z,50
408732,2013-11-19T00:46:57.222423,56615.03260674,255861,200.00000000,0.6165493418922,-0.09437815807324533,z,50
408732,2013-11-22T00:43:48.315049,56618.03042031,257205,175.00000000,0.6156217172717058,-0.09457595979188418,g,50
408732,2013-11-22T00:47:12.149427,56618.03277951,257206,150.00000000,0.6156209963316178,-0.09457610453373226,r,50
408732,2013-11-22T00:50:12.594099,56618.03486799,257207,200.00000000,0.6156203581308315,-0.09457623265221661,i,50
408732,2013-11-22T00:54:01.917713,56618.03752220,257208,200.00000000,0.6156195470707733,-0.09457639545593007,z,50
408732,2013-11-22T00:57:51.375186,56618.04017795,257209,200.00000000,0.6156187355561932,-0.0945765583327548,z,50
408732,2013-12-01T01:12:35.493529,56627.05041080,258829,175.00000000,0.6129885990292891,-0.09500037630964335,g,55
408732,2013-12-01T01:15:59.503087,56627.05277203,258830,150.00000000,0.6129879457992352,-0.09500045301846535,r,55
408732,2013-12-01T01:19:05.651958,56627.05492653,258831,200.00000000,0.6129873497765538,-0.09500052299561022,i,55
408732,2013-12-01T01:22:54.466791,56627.05757485,258832,200.00000000,0.6129866171672226,-0.09500060899089885,z,55
